Numer of labeled samples:26371   AUC:0.960
Numer of labeled samples:26715   AUC:0.974
Numer of labeled samples:26715   AUC:0.974
Numer of labeled samples:26728   AUC:0.976
Numer of labeled samples:26730   AUC:0.977
Numer of labeled samples:26762   AUC:0.976
Numer of labeled samples:26779   AUC:0.977
Numer of labeled samples:26801   AUC:0.977
Numer of labeled samples:26791   AUC:0.977
Numer of labeled samples:26807   AUC:0.978
Numer of labeled samples:26809   AUC:0.978
Numer of labeled samples:26812   AUC:0.978
Numer of labeled samples:26810   AUC:0.978
Numer of labeled samples:26808   AUC:0.977
Numer of labeled samples:26841   AUC:0.978
Numer of labeled samples:26832   AUC:0.977
Numer of labeled samples:26835   AUC:0.979
Numer of labeled samples:26843   AUC:0.979
Numer of labeled samples:26847   AUC:0.979
Numer of labeled samples:26874   AUC:0.979
Numer of labeled samples:26870   AUC:0.979
Numer of labeled samples:26873   AUC:0.980
Numer of labeled samples:26897   AUC:0.978
Numer of labeled samples:26896   AUC:0.979
Numer of labeled samples:26910   AUC:0.979
Numer of labeled samples:26918   AUC:0.978
Numer of labeled samples:26909   AUC:0.979
Numer of labeled samples:26926   AUC:0.979
Numer of labeled samples:26881   AUC:0.980
Numer of labeled samples:26894   AUC:0.979
Numer of labeled samples:26923   AUC:0.978
Numer of labeled samples:26886   AUC:0.978
Numer of labeled samples:26900   AUC:0.978
Numer of labeled samples:26901   AUC:0.978
Numer of labeled samples:26900   AUC:0.978
Numer of labeled samples:26922   AUC:0.978
Numer of labeled samples:26927   AUC:0.978
Numer of labeled samples:26876   AUC:0.979
Numer of labeled samples:26905   AUC:0.978
Numer of labeled samples:26884   AUC:0.979
Numer of labeled samples:26917   AUC:0.978
Numer of labeled samples:26913   AUC:0.979
Numer of labeled samples:26888   AUC:0.978
Numer of labeled samples:26893   AUC:0.979
Numer of labeled samples:26878   AUC:0.978
Numer of labeled samples:26891   AUC:0.978
Numer of labeled samples:26893   AUC:0.980
Numer of labeled samples:26896   AUC:0.977
Numer of labeled samples:26887   AUC:0.977
Numer of labeled samples:26891   AUC:0.979
Numer of labeled samples:26899   AUC:0.979
Numer of labeled samples:26908   AUC:0.976
Numer of labeled samples:26882   AUC:0.978
Numer of labeled samples:26899   AUC:0.978
Numer of labeled samples:26904   AUC:0.978
Numer of labeled samples:26911   AUC:0.979
Numer of labeled samples:26889   AUC:0.978
Numer of labeled samples:26933   AUC:0.977
Numer of labeled samples:26918   AUC:0.980
Numer of labeled samples:26922   AUC:0.978
Numer of labeled samples:26910   AUC:0.978
Numer of labeled samples:26897   AUC:0.978
Numer of labeled samples:26896   AUC:0.979
Numer of labeled samples:26898   AUC:0.979
Numer of labeled samples:26910   AUC:0.979
Numer of labeled samples:26898   AUC:0.978
Numer of labeled samples:26881   AUC:0.979
Numer of labeled samples:26904   AUC:0.979
Numer of labeled samples:26890   AUC:0.978
Numer of labeled samples:26925   AUC:0.979
Numer of labeled samples:26922   AUC:0.977
Numer of labeled samples:26906   AUC:0.980
Numer of labeled samples:26903   AUC:0.978
Numer of labeled samples:26918   AUC:0.979
Numer of labeled samples:26899   AUC:0.979
Numer of labeled samples:26917   AUC:0.979
Numer of labeled samples:26938   AUC:0.977
Numer of labeled samples:26933   AUC:0.980
Numer of labeled samples:26931   AUC:0.979
Numer of labeled samples:26945   AUC:0.979
Numer of labeled samples:26903   AUC:0.979
Numer of labeled samples:26934   AUC:0.977
Numer of labeled samples:26924   AUC:0.978
Numer of labeled samples:26908   AUC:0.979
Numer of labeled samples:26896   AUC:0.979
Numer of labeled samples:26915   AUC:0.977
Numer of labeled samples:26944   AUC:0.980
Numer of labeled samples:26976   AUC:0.980
Numer of labeled samples:26965   AUC:0.980
Numer of labeled samples:26938   AUC:0.980
Numer of labeled samples:26927   AUC:0.979
Numer of labeled samples:26938   AUC:0.978
Numer of labeled samples:26920   AUC:0.980
Numer of labeled samples:26903   AUC:0.978
Numer of labeled samples:26887   AUC:0.980
Numer of labeled samples:26909   AUC:0.981
Numer of labeled samples:26928   AUC:0.979
Numer of labeled samples:26946   AUC:0.980
Numer of labeled samples:26920   AUC:0.980
Numer of labeled samples:26934   AUC:0.981
Numer of labeled samples:26911   AUC:0.980
Numer of labeled samples:26922   AUC:0.979
Numer of labeled samples:26930   AUC:0.980
Numer of labeled samples:26924   AUC:0.978
Numer of labeled samples:26927   AUC:0.980
Numer of labeled samples:26930   AUC:0.980
Numer of labeled samples:26952   AUC:0.978
Numer of labeled samples:26918   AUC:0.979
Numer of labeled samples:26928   AUC:0.979
Numer of labeled samples:26927   AUC:0.980
Numer of labeled samples:26918   AUC:0.981
Numer of labeled samples:26915   AUC:0.980
Numer of labeled samples:26902   AUC:0.981
Numer of labeled samples:26919   AUC:0.980
Numer of labeled samples:26934   AUC:0.981
Numer of labeled samples:26940   AUC:0.980
Numer of labeled samples:26943   AUC:0.980
Numer of labeled samples:26928   AUC:0.980
Numer of labeled samples:26929   AUC:0.980
Numer of labeled samples:26943   AUC:0.981
Numer of labeled samples:26947   AUC:0.982
Numer of labeled samples:26977   AUC:0.981
Numer of labeled samples:26957   AUC:0.981
Numer of labeled samples:26909   AUC:0.979
Numer of labeled samples:26916   AUC:0.980
Numer of labeled samples:26921   AUC:0.980
Numer of labeled samples:26922   AUC:0.981
Numer of labeled samples:26914   AUC:0.980
Numer of labeled samples:26932   AUC:0.981
Numer of labeled samples:26937   AUC:0.981
Numer of labeled samples:26954   AUC:0.979
Numer of labeled samples:26918   AUC:0.978
Numer of labeled samples:26990   AUC:0.981
Numer of labeled samples:26945   AUC:0.980
Numer of labeled samples:26985   AUC:0.980
Numer of labeled samples:26936   AUC:0.981
Numer of labeled samples:26912   AUC:0.981
Numer of labeled samples:26898   AUC:0.979
Numer of labeled samples:26918   AUC:0.980
Numer of labeled samples:26888   AUC:0.980
Numer of labeled samples:26926   AUC:0.980
Numer of labeled samples:26930   AUC:0.982
Numer of labeled samples:26957   AUC:0.982
Numer of labeled samples:26949   AUC:0.982
Numer of labeled samples:26961   AUC:0.982
Numer of labeled samples:26966   AUC:0.982
Numer of labeled samples:26966   AUC:0.982
Numer of labeled samples:26976   AUC:0.982
Numer of labeled samples:26966   AUC:0.982
Numer of labeled samples:26979   AUC:0.982
Numer of labeled samples:26966   AUC:0.982
Numer of labeled samples:26984   AUC:0.982
Numer of labeled samples:26986   AUC:0.981
Numer of labeled samples:26972   AUC:0.981
Numer of labeled samples:26981   AUC:0.982
Numer of labeled samples:26977   AUC:0.981
Numer of labeled samples:26985   AUC:0.981
Numer of labeled samples:26987   AUC:0.982
Numer of labeled samples:26990   AUC:0.981
Numer of labeled samples:26983   AUC:0.981
Numer of labeled samples:27017   AUC:0.982
Numer of labeled samples:26986   AUC:0.981
Numer of labeled samples:26996   AUC:0.981
Numer of labeled samples:26995   AUC:0.981
Numer of labeled samples:26993   AUC:0.981
Numer of labeled samples:27021   AUC:0.981
Numer of labeled samples:27010   AUC:0.981
Numer of labeled samples:27022   AUC:0.981
Numer of labeled samples:26994   AUC:0.981
Numer of labeled samples:27009   AUC:0.981
Numer of labeled samples:26996   AUC:0.980
Numer of labeled samples:27019   AUC:0.980
Numer of labeled samples:27048   AUC:0.980
Numer of labeled samples:27026   AUC:0.980
Numer of labeled samples:27021   AUC:0.980
Numer of labeled samples:27044   AUC:0.981
Numer of labeled samples:27021   AUC:0.980
Numer of labeled samples:27044   AUC:0.980
Numer of labeled samples:27031   AUC:0.980
Numer of labeled samples:27044   AUC:0.981
Numer of labeled samples:27013   AUC:0.980
Numer of labeled samples:27032   AUC:0.980
Numer of labeled samples:27027   AUC:0.980
Numer of labeled samples:27038   AUC:0.980
Numer of labeled samples:27044   AUC:0.980
