Numer of labeled samples:8645   AUC:0.921
Numer of labeled samples:8954   AUC:0.967
Numer of labeled samples:9030   AUC:0.967
Numer of labeled samples:8993   AUC:0.973
Numer of labeled samples:8952   AUC:0.974
Numer of labeled samples:8961   AUC:0.974
Numer of labeled samples:8933   AUC:0.974
Numer of labeled samples:8939   AUC:0.974
Numer of labeled samples:8949   AUC:0.974
Numer of labeled samples:8956   AUC:0.974
Numer of labeled samples:8937   AUC:0.975
Numer of labeled samples:8943   AUC:0.975
Numer of labeled samples:8917   AUC:0.977
Numer of labeled samples:8959   AUC:0.975
Numer of labeled samples:8959   AUC:0.975
Numer of labeled samples:8957   AUC:0.976
Numer of labeled samples:8958   AUC:0.975
Numer of labeled samples:8939   AUC:0.976
Numer of labeled samples:8932   AUC:0.976
Numer of labeled samples:8923   AUC:0.977
Numer of labeled samples:8949   AUC:0.976
Numer of labeled samples:8990   AUC:0.976
Numer of labeled samples:8957   AUC:0.976
Numer of labeled samples:8934   AUC:0.976
Numer of labeled samples:8929   AUC:0.976
Numer of labeled samples:8982   AUC:0.977
Numer of labeled samples:8940   AUC:0.977
Numer of labeled samples:8956   AUC:0.977
Numer of labeled samples:8935   AUC:0.977
Numer of labeled samples:8939   AUC:0.977
Numer of labeled samples:8943   AUC:0.977
Numer of labeled samples:8942   AUC:0.977
Numer of labeled samples:8941   AUC:0.977
Numer of labeled samples:8944   AUC:0.978
Numer of labeled samples:8960   AUC:0.977
Numer of labeled samples:8948   AUC:0.978
Numer of labeled samples:8942   AUC:0.977
Numer of labeled samples:8936   AUC:0.977
Numer of labeled samples:8914   AUC:0.977
Numer of labeled samples:8928   AUC:0.976
Numer of labeled samples:8970   AUC:0.977
Numer of labeled samples:8908   AUC:0.978
Numer of labeled samples:8950   AUC:0.978
Numer of labeled samples:8949   AUC:0.977
Numer of labeled samples:8966   AUC:0.977
Numer of labeled samples:8944   AUC:0.979
Numer of labeled samples:8906   AUC:0.979
Numer of labeled samples:8929   AUC:0.978
Numer of labeled samples:8954   AUC:0.978
Numer of labeled samples:8939   AUC:0.979
Numer of labeled samples:8927   AUC:0.978
Numer of labeled samples:8967   AUC:0.978
Numer of labeled samples:8945   AUC:0.978
Numer of labeled samples:8936   AUC:0.979
Numer of labeled samples:8933   AUC:0.979
Numer of labeled samples:8935   AUC:0.978
Numer of labeled samples:8928   AUC:0.978
Numer of labeled samples:8929   AUC:0.979
Numer of labeled samples:8907   AUC:0.979
Numer of labeled samples:8900   AUC:0.979
Numer of labeled samples:8903   AUC:0.980
Numer of labeled samples:8939   AUC:0.979
Numer of labeled samples:8905   AUC:0.981
Numer of labeled samples:8880   AUC:0.980
Numer of labeled samples:8916   AUC:0.981
Numer of labeled samples:8914   AUC:0.979
Numer of labeled samples:8933   AUC:0.978
Numer of labeled samples:8919   AUC:0.980
Numer of labeled samples:8954   AUC:0.979
Numer of labeled samples:8934   AUC:0.980
Numer of labeled samples:8930   AUC:0.979
Numer of labeled samples:8950   AUC:0.980
Numer of labeled samples:8953   AUC:0.979
Numer of labeled samples:8925   AUC:0.979
Numer of labeled samples:8922   AUC:0.978
Numer of labeled samples:8909   AUC:0.979
Numer of labeled samples:8917   AUC:0.979
Numer of labeled samples:8916   AUC:0.979
Numer of labeled samples:8957   AUC:0.979
Numer of labeled samples:8906   AUC:0.978
Numer of labeled samples:8923   AUC:0.980
Numer of labeled samples:8938   AUC:0.979
Numer of labeled samples:8923   AUC:0.977
Numer of labeled samples:8921   AUC:0.980
Numer of labeled samples:8916   AUC:0.979
Numer of labeled samples:8904   AUC:0.980
Numer of labeled samples:8941   AUC:0.978
Numer of labeled samples:8903   AUC:0.979
Numer of labeled samples:8933   AUC:0.980
Numer of labeled samples:8846   AUC:0.979
Numer of labeled samples:8946   AUC:0.979
Numer of labeled samples:8949   AUC:0.979
Numer of labeled samples:8906   AUC:0.980
Numer of labeled samples:8943   AUC:0.978
Numer of labeled samples:8914   AUC:0.980
Numer of labeled samples:8956   AUC:0.979
Numer of labeled samples:8900   AUC:0.974
Numer of labeled samples:8964   AUC:0.976
Numer of labeled samples:8924   AUC:0.978
Numer of labeled samples:8892   AUC:0.979
Numer of labeled samples:8847   AUC:0.978
Numer of labeled samples:8975   AUC:0.979
Numer of labeled samples:8934   AUC:0.978
Numer of labeled samples:8924   AUC:0.978
Numer of labeled samples:8908   AUC:0.979
Numer of labeled samples:8976   AUC:0.977
Numer of labeled samples:8929   AUC:0.979
Numer of labeled samples:8952   AUC:0.978
Numer of labeled samples:8851   AUC:0.979
Numer of labeled samples:8914   AUC:0.979
Numer of labeled samples:8884   AUC:0.980
Numer of labeled samples:8922   AUC:0.980
Numer of labeled samples:8956   AUC:0.981
Numer of labeled samples:8907   AUC:0.980
Numer of labeled samples:8924   AUC:0.978
Numer of labeled samples:8885   AUC:0.979
Numer of labeled samples:8867   AUC:0.979
Numer of labeled samples:8889   AUC:0.975
Numer of labeled samples:8834   AUC:0.979
Numer of labeled samples:8966   AUC:0.980
Numer of labeled samples:8908   AUC:0.978
Numer of labeled samples:8869   AUC:0.980
Numer of labeled samples:8914   AUC:0.979
Numer of labeled samples:8838   AUC:0.978
Numer of labeled samples:8946   AUC:0.978
Numer of labeled samples:8866   AUC:0.977
Numer of labeled samples:8914   AUC:0.979
Numer of labeled samples:8870   AUC:0.978
Numer of labeled samples:8888   AUC:0.978
Numer of labeled samples:8873   AUC:0.979
Numer of labeled samples:8959   AUC:0.979
Numer of labeled samples:8865   AUC:0.978
Numer of labeled samples:8954   AUC:0.979
Numer of labeled samples:8904   AUC:0.980
Numer of labeled samples:8892   AUC:0.980
Numer of labeled samples:8930   AUC:0.976
Numer of labeled samples:8810   AUC:0.978
Numer of labeled samples:8919   AUC:0.978
Numer of labeled samples:8847   AUC:0.978
Numer of labeled samples:8857   AUC:0.977
Numer of labeled samples:8831   AUC:0.980
Numer of labeled samples:8903   AUC:0.982
Numer of labeled samples:8891   AUC:0.983
Numer of labeled samples:8891   AUC:0.983
Numer of labeled samples:8874   AUC:0.983
Numer of labeled samples:8874   AUC:0.983
Numer of labeled samples:8885   AUC:0.982
Numer of labeled samples:8872   AUC:0.982
Numer of labeled samples:8866   AUC:0.982
Numer of labeled samples:8875   AUC:0.982
Numer of labeled samples:8868   AUC:0.982
Numer of labeled samples:8858   AUC:0.982
Numer of labeled samples:8886   AUC:0.983
Numer of labeled samples:8862   AUC:0.982
Numer of labeled samples:8873   AUC:0.982
Numer of labeled samples:8862   AUC:0.982
Numer of labeled samples:8869   AUC:0.981
Numer of labeled samples:8858   AUC:0.981
Numer of labeled samples:8861   AUC:0.982
Numer of labeled samples:8888   AUC:0.981
Numer of labeled samples:8853   AUC:0.982
Numer of labeled samples:8861   AUC:0.981
Numer of labeled samples:8857   AUC:0.982
Numer of labeled samples:8864   AUC:0.981
Numer of labeled samples:8872   AUC:0.981
Numer of labeled samples:8868   AUC:0.981
Numer of labeled samples:8870   AUC:0.981
Numer of labeled samples:8852   AUC:0.981
Numer of labeled samples:8867   AUC:0.981
Numer of labeled samples:8856   AUC:0.981
Numer of labeled samples:8859   AUC:0.981
Numer of labeled samples:8862   AUC:0.981
Numer of labeled samples:8856   AUC:0.981
Numer of labeled samples:8854   AUC:0.981
Numer of labeled samples:8860   AUC:0.981
Numer of labeled samples:8883   AUC:0.981
Numer of labeled samples:8860   AUC:0.981
Numer of labeled samples:8856   AUC:0.980
Numer of labeled samples:8852   AUC:0.980
Numer of labeled samples:8863   AUC:0.980
Numer of labeled samples:8857   AUC:0.980
Numer of labeled samples:8869   AUC:0.980
Numer of labeled samples:8858   AUC:0.980
Numer of labeled samples:8860   AUC:0.980
Numer of labeled samples:8868   AUC:0.979
Numer of labeled samples:8878   AUC:0.980
Numer of labeled samples:8862   AUC:0.979
Numer of labeled samples:8871   AUC:0.980
Numer of labeled samples:8860   AUC:0.980
Numer of labeled samples:8897   AUC:0.979
Numer of labeled samples:8878   AUC:0.980
Numer of labeled samples:8866   AUC:0.980
Numer of labeled samples:8870   AUC:0.980
Numer of labeled samples:8873   AUC:0.980
Numer of labeled samples:8876   AUC:0.980
Numer of labeled samples:8863   AUC:0.979
Numer of labeled samples:8862   AUC:0.979
Numer of labeled samples:8861   AUC:0.979
Numer of labeled samples:8869   AUC:0.979
Numer of labeled samples:8880   AUC:0.979
Numer of labeled samples:8888   AUC:0.980
Numer of labeled samples:8894   AUC:0.979
